name,locationId,builtBy,builtYear,supplementaryInfo
Engineering and Information Technology Complex,16,,1912-1913,"The original section of this building, the southeast section facing the green, was completed in 1912-1913.  The first addition to the northeast corner came in 1949.  In 1954 the first floor of the center wing and the second and third floors of the old south wing were added.  In 1962 the second and third floors of the center wing were constructed, also in red brick.  The 1967 addition (the New Engineering Building), however, is contemporary in design and related to the 1949 addition with its polished limestone veneer and large plate-glass windows.  The Senate Chamber is in this wing.  The 1949 addition was torn down and a new building took its place as part of the newly renovated Engineering and Information Technlogy Complex, which opened in 2005.  The Fetherstonhaugh High Voltage Laboratory was completed in 1957"
Engineering Atrium,17,,,newly build after renovation with Engineering and Information Technology Complex 
Fitzgerald Building,18,,1965,"The School of Art moved into its new and  permanent home on the Fort Garry Campus in the fall of 1965.  The building is named in honor of L. Lemoine Fitzgerald, a member of the Group of Seven and one-time Principal of the Winnipeg School of Art.  The School was founded in 1913 and operated independently of the University until 1950 when a degree course in Fine Arts was initiated."
Frank Kennedy Centre,19,,1965,"The swimming pool of this athletic complex opened in 1965.  The larger structure that houses the gymnasiums and the Continuing Education Division was opened in 1972.  The building is named after the late Frank Kennedy, the first director of the School of Physical Education at its inception in 1964."
Freshwater Institute,20,,1972,This building was officially opened in 1972.  This is where the federal Fisheries and Marine Service conducts supporting research and performs fisheries product inspection for Canada's four inland provinces and the North West Territories
Investors Group Centre,21,,1998,"The new athletic centre, sponsored by Investors Group for the Pan Am Games, opened in 1998"
Isbister Building,22,,1961,"This building was completed in 1961 to house the Departments of Commerce and Psychology.  It now houses Geography, Near Eastern and Judaic Studies and Sociology.  The Isbister Trust Fund has played an important part in student aid at the University."
Machray Hall,23,,1972,"This building houses the Dean's Office, Faculty of Science, the Science Library, and the Departments of Statistics, Mathematics, Computer Science and Applied Mathematics.  The facility opened in 1972 and is named in honor of Robert Machray, the Archbishop of Rupertsland and first Chancellor of the University of Manitoba"
Mary Speechly Hall,24,,1964,Mary Speechly Hall ( former Women's Residence) opened in September 1964.  Pembina Hall houses the residence students' cafeteria and the Faculty Club.  Mary Speechly was the first woman appointed to the Board of Governors.
Pembina Hall,25,,1964,Mary Speechly Hall ( former Women's Residence) opened in September 1964.  Pembina Hall houses the residence students' cafeteria and the Faculty Club.  Mary Speechly was the first woman appointed to the Board of Governors.
Max Bell Center,26,,1982,This athletic complex was opened in 1982 complete with hockey rink and the finest indoor track in the province.  George Maxwell Bell was a newspaper baron and at one time owner of the Winnipeg Free Press.  The Max Bell Centre is a beneficiary of the Max Bell Foundation.
Plant Science Building,27,,1960,"Completed in 1960, this building was originally named the Crop Research Building."
John A. Russell Building,28,,1959,"Named after the School of Architecture's first dean, this building was completed in 1959.  Russell was on faculty at the University from 1928 to 1966."
Science Lecture Block,29,,1960,"John A. Russell Building Named after the School of Architecture's first dean, this building was completed in 1959.  Russell was on faculty at the University from 1928 to 1966."
Parker Building,30,,1960,Part of science lecture block
Armes Building,31,,1960,Part of science lecture block
Allen Building ,32,,1960,Part of science lecture block
St. Andrew's College,33,,1963,"Built in 1963, St. Andrew's College was the first Ukrainian-language college to be opened by the Greek Orthodox Church in North America.  The College library contains one of the largest collections of Orthodox manuscripts and books in the world."
St. John's College,34,,1958,This Anglican College was one of the three affiliate Colleges that founded the University of Manitoba in 1877.  In 1958 it left Broadway Avenue and moved to the Fort Garry Campus
St. Paul's College,35,,1958,"Founded in 1926, St. Paul's College first became affiliated with the University of Manitoba in 1931.  The College moved to the Fort Garry Campus in 1958."
University Centre,36,,1969,This complex opened in the fall of 1969.
Wallace Building,37,,1986,"This building opened in 1986 to house the Department of Geological Sciences.  Robert Charles Wallace was the first professor of Geology and Mineralogy at the University of Manitoba, joining the faculty in 1910."
Tier Building,38,,1930,"The Tier Building was the first departure from the re-brick, Georgian architectural style prevalent on campus prior to the 1930s. The architect, Arthur A. Stoughton, was the head of the school of architecture at the time and his students drew up the plans. Stoughton was influenced by the collegiate gothic style that was common on many university campuses and utilized native manitoba limestone for the building's exterior and marble in its interior."
Fletcher Argue Building,39,,1967,"This six-story building opened in the fall of 1967.  The building is named after Robert Fletcher Argue, an English professor from 1923 and the Dean of Junior Men at the University's Broadway site from 1940-1948."
Parkade Building,40,,,In door parking
Helen Glass Centre for Nursing,41,,1999,"The Helen Glass Centre for Nursing was the first building on the campuse of the University of Manitoba to be dedicated by a member of the British Royal Family. Princess Anne, who was visiting Winnipeg for the 1999 Pan-American Games, officially dedicated the building that summer."
Extended Education Building,43,,,"Housed in the Extended Education Complex, the Division offers a wide range of innovative programming and flexible study options, including: degree credit courses in Summer Session, Distance and Online Education, as well as Continuing Education, Language, and Aboriginal programs and courses."
Education Building,42,,,The Faculty of Education is located in this building. Several of the facilities inside have been named and dedicated in honour of leading Manitoba educators.
Fine Arts Annex,44,,,
Biological Sciences Building,45,,,
Buller Building,46,,1932,"The science building was constructed in 1932 and was renamed the Buller Biological laboratories in 1963 to honour one of the student's original six science professors, A.H. Reginald Buller."
Human Ecology Building,47,,1912,"An 'original' campus building, it opened in 1912 as the Horticulture and Biology Building. After the construction of an addition in 1950, it became the location of the Faculty of Human Ecology. The modest interior has remained relatively unchanged."
Agriculture Canada/ Cereal research centre,48,,,
Vegetable Storage,49,,,
Plant Science Field Station,50,,,
Crop Technology Centre,51,,,
ART Lab,52,,,"This state-of-the-art facility is a LEED-silver project that brings together facilities for art, multimedia and design."
Drake Centre,53,,1987,The origins of the drake centre are steeped in royalty. Queen Elizabeth II assisted in the sod turning ceremony for what was to be termed the adminstrative studies - transport building.
Dental Building,63,,,
Sinnott Building,64,,,
Harry Medovy House,65,,,
Basic Medical Sciences Building,66,,,
Psychological Service Centre,67,,1968,The Psychological Service Centre opened its doors in 1968 with a mandate to train graduate students in the discipline of clinical psychology and serve as a community resource to those in need.
Medical Services Building,68,,,
St. Boniface Hospital,69,,,
Old Basic Science Building,70,,,
Apotex Centre,71,,,
Health Sciences Centre,72,,,
Misericordia General Hospital,73,,,
Brodie Centre,74,,,"The Brodie Centre is described as a ""flagship"" building at the Bannatyne Campus, linking faculties along with the Neil John Maclean Health Sciences Library and Joe Doupe Fitness Centre together."
Children's Hospital,75,,,
Chown Centre,76,,,
Cancer Centre,77,,,
Music Annex,78,,1965,"This building is the home for music students and music education, it opened in 1965. Eva Clare Hall, with its fine pipe organ is the setting for many concerts and recitals throughout the year and is named after the first head of music."
1 Research Road,79,,,
